Time taken to solve:	166.845 minutes
Required Solution trajectory

Node # 	 X 	 Y
50265 	 140.000 	 125.000
50666 	 140.000 	 126.000
51067 	 140.000 	 127.000
51469 	 141.000 	 128.000
51871 	 142.000 	 129.000
52273 	 143.000 	 130.000
52675 	 144.000 	 131.000
53077 	 145.000 	 132.000
53479 	 146.000 	 133.000
53881 	 147.000 	 134.000
54283 	 148.000 	 135.000
54685 	 149.000 	 136.000
55087 	 150.000 	 137.000
55489 	 151.000 	 138.000
55891 	 152.000 	 139.000
56293 	 153.000 	 140.000
56695 	 154.000 	 141.000
57097 	 155.000 	 142.000
57499 	 156.000 	 143.000
57901 	 157.000 	 144.000
58303 	 158.000 	 145.000
58705 	 159.000 	 146.000
59107 	 160.000 	 147.000
59509 	 161.000 	 148.000
59911 	 162.000 	 149.000
60313 	 163.000 	 150.000
60715 	 164.000 	 151.000
61117 	 165.000 	 152.000
61519 	 166.000 	 153.000
61921 	 167.000 	 154.000
62323 	 168.000 	 155.000
62725 	 169.000 	 156.000
63127 	 170.000 	 157.000
63529 	 171.000 	 158.000
63931 	 172.000 	 159.000
64333 	 173.000 	 160.000
64735 	 174.000 	 161.000
65137 	 175.000 	 162.000
65539 	 176.000 	 163.000
65941 	 177.000 	 164.000
66343 	 178.000 	 165.000
66745 	 179.000 	 166.000
67147 	 180.000 	 167.000
67549 	 181.000 	 168.000
67951 	 182.000 	 169.000
68353 	 183.000 	 170.000
68755 	 184.000 	 171.000
69157 	 185.000 	 172.000
69158 	 186.000 	 172.000
69560 	 187.000 	 173.000
69962 	 188.000 	 174.000
70364 	 189.000 	 175.000
70365 	 190.000 	 175.000
70767 	 191.000 	 176.000
71169 	 192.000 	 177.000
71170 	 193.000 	 177.000
71572 	 194.000 	 178.000
71573 	 195.000 	 178.000
71975 	 196.000 	 179.000
72377 	 197.000 	 180.000
72378 	 198.000 	 180.000
72780 	 199.000 	 181.000
72781 	 200.000 	 181.000
72782 	 201.000 	 181.000
73184 	 202.000 	 182.000
73185 	 203.000 	 182.000
73587 	 204.000 	 183.000
73588 	 205.000 	 183.000
73990 	 206.000 	 184.000
73991 	 207.000 	 184.000
73992 	 208.000 	 184.000
74394 	 209.000 	 185.000
74395 	 210.000 	 185.000
74396 	 211.000 	 185.000
74798 	 212.000 	 186.000
74799 	 213.000 	 186.000
74800 	 214.000 	 186.000
74801 	 215.000 	 186.000
75203 	 216.000 	 187.000
75204 	 217.000 	 187.000
75205 	 218.000 	 187.000
75206 	 219.000 	 187.000
75608 	 220.000 	 188.000
75609 	 221.000 	 188.000
75610 	 222.000 	 188.000
75611 	 223.000 	 188.000
76013 	 224.000 	 189.000
76014 	 225.000 	 189.000
76015 	 226.000 	 189.000
76016 	 227.000 	 189.000
76017 	 228.000 	 189.000
76018 	 229.000 	 189.000
76019 	 230.000 	 189.000
76421 	 231.000 	 190.000
76422 	 232.000 	 190.000
76423 	 233.000 	 190.000
76424 	 234.000 	 190.000
76425 	 235.000 	 190.000
76426 	 236.000 	 190.000
76427 	 237.000 	 190.000
76428 	 238.000 	 190.000
76429 	 239.000 	 190.000
76430 	 240.000 	 190.000
76431 	 241.000 	 190.000
76432 	 242.000 	 190.000
76433 	 243.000 	 190.000
76434 	 244.000 	 190.000
76435 	 245.000 	 190.000
76436 	 246.000 	 190.000
76437 	 247.000 	 190.000
76438 	 248.000 	 190.000
76439 	 249.000 	 190.000
76440 	 250.000 	 190.000
76441 	 251.000 	 190.000
76442 	 252.000 	 190.000
76443 	 253.000 	 190.000
76444 	 254.000 	 190.000
76445 	 255.000 	 190.000
76446 	 256.000 	 190.000
76447 	 257.000 	 190.000
76448 	 258.000 	 190.000
76449 	 259.000 	 190.000
76450 	 260.000 	 190.000
76451 	 261.000 	 190.000
76452 	 262.000 	 190.000
76453 	 263.000 	 190.000
76454 	 264.000 	 190.000
76455 	 265.000 	 190.000
76456 	 266.000 	 190.000
76457 	 267.000 	 190.000
76458 	 268.000 	 190.000
76459 	 269.000 	 190.000
76460 	 270.000 	 190.000
76461 	 271.000 	 190.000
76462 	 272.000 	 190.000
76463 	 273.000 	 190.000
76464 	 274.000 	 190.000
76465 	 275.000 	 190.000
76466 	 276.000 	 190.000
76467 	 277.000 	 190.000
76468 	 278.000 	 190.000
76469 	 279.000 	 190.000
76470 	 280.000 	 190.000
76471 	 281.000 	 190.000
76472 	 282.000 	 190.000
76473 	 283.000 	 190.000
76474 	 284.000 	 190.000
76475 	 285.000 	 190.000
76476 	 286.000 	 190.000
76477 	 287.000 	 190.000
76478 	 288.000 	 190.000
76479 	 289.000 	 190.000
76480 	 290.000 	 190.000
76882 	 291.000 	 191.000
77284 	 292.000 	 192.000
77686 	 293.000 	 193.000
78088 	 294.000 	 194.000
78490 	 295.000 	 195.000
78892 	 296.000 	 196.000
79294 	 297.000 	 197.000
79696 	 298.000 	 198.000
80098 	 299.000 	 199.000
80500 	 300.000 	 200.000
80902 	 301.000 	 201.000
81304 	 302.000 	 202.000
81706 	 303.000 	 203.000
82108 	 304.000 	 204.000
